t,u,v,x,y,z,r,num_contours,threshold
7318.902015686035,91,351,-9.12421875,-4.625,20.0,58.76,2,
7352.3759841918945,94,347,-9.004687500000001,-4.458333333333333,20.0,58.53,2,
7384.299993515015,95,345,-8.964843750000002,-4.375,20.0,58.42,2,
7418.194770812988,94,344,-9.004687500000001,-4.333333333333333,20.0,58.14,2,
7451.513051986694,94,344,-9.004687500000001,-4.333333333333333,20.0,57.88,2,
7485.931873321533,93,344,-9.04453125,-4.333333333333333,20.0,57.96,2,
7517.025947570801,92,343,-9.084375000000001,-4.291666666666666,20.0,58.35,2,
7549.224853515625,90,344,-9.164062500000002,-4.333333333333333,20.0,58.51,2,
7583.4197998046875,90,345,-9.164062500000002,-4.375,20.0,58.16,3,
7616.559743881226,94,343,-9.004687500000001,-4.291666666666666,20.0,57.59,2,
7649.538040161133,94,332,-9.004687500000001,-3.833333333333333,20.0,57.72,2,
7716.85791015625,92,320,-9.084375000000001,-3.333333333333333,20.0,58.6,2,
7749.108791351318,94,313,-9.004687500000001,-3.0416666666666665,20.0,59.11,2,
7781.401872634888,99,315,-8.805468750000001,-3.125,20.0,58.65,3,
7813.732862472534,103,315,-8.64609375,-3.125,20.0,58.29,2,
7845.279932022095,102,313,-8.685937500000001,-3.0416666666666665,20.0,58.59,2,
7879.81390953064,101,315,-8.72578125,-3.125,20.0,58.83,2,
7913.626670837402,103,321,-8.64609375,-3.375,20.0,58.08,2,
7946.1658000946045,104,323,-8.606250000000001,-3.458333333333333,20.0,57.43,2,
7979.161739349365,102,320,-8.685937500000001,-3.333333333333333,20.0,57.34,2,
8011.0108852386475,105,317,-8.566406250000002,-3.208333333333333,20.0,57.3,2,
8045.508861541748,113,319,-8.24765625,-3.2916666666666665,20.0,56.89,2,
8078.024864196777,119,317,-8.008593750000001,-3.208333333333333,20.0,56.49,3,
8111.907958984375,118,311,-8.0484375,-2.958333333333333,20.0,56.95,2,
8142.904996871948,117,309,-8.088281250000001,-2.875,20.0,57.49,3,
8177.408933639526,118,312,-8.0484375,-3.0,20.0,57.19,2,
8210.332870483398,115,312,-8.16796875,-3.0,20.0,56.98,3,
