t,u,v,r,num_contours,threshold
9033.152103424072,185,225,42.1,7,86.0
9065.577983856201,184,226,42.1,4,86.0
9099.224090576172,184,228,42.07,5,86.0
9133.464097976685,184,230,42.04,5,86.0
9164.557218551636,184,231,42.08,9,86.0
9197.364091873169,185,232,42.07,7,86.0
9230.692148208618,186,233,42.03,7,86.0
9263.958215713501,186,232,42.05,6,86.0
9297.146320343018,187,232,42.04,8,86.0
9330.799102783203,187,232,42.04,5,86.0
9362.756252288818,187,232,42.0,8,86.0
9395.527362823486,189,233,42.02,5,86.0
9428.915977478027,191,234,41.94,8,86.0
9462.156057357788,193,235,41.84,5,86.0
9494.819164276123,195,235,41.69,7,86.0
9529.226064682007,195,234,41.73,6,86.0
9560.299158096313,196,233,41.81,5,86.0
9594.304084777832,198,234,41.78,4,86.0
9627.438068389893,199,236,41.68,7,86.0
9660.413026809692,200,237,41.65,4,86.0
9693.350315093994,201,238,41.58,5,86.0
9727.659225463867,201,239,41.45,5,86.0
9759.809017181396,201,238,41.38,4,86.0
9792.793273925781,201,237,41.41,5,86.0
9826.179265975952,203,237,41.37,4,86.0
9859.369993209839,204,236,41.44,7,86.0
9892.858266830444,206,234,41.46,5,86.0
9925.482034683228,207,233,41.56,6,86.0
9956.680059432983,208,233,41.49,8,86.0
9989.174127578735,209,232,41.49,6,86.0
10023.147106170654,209,230,41.56,4,86.0
10056.037187576294,211,229,41.55,6,86.0
10087.569236755371,213,229,41.47,6,86.0
10121.212244033813,215,227,41.53,5,86.0
10154.614210128784,218,227,41.39,9,86.0
10187.293291091919,220,226,41.37,12,86.0
10220.035076141357,222,224,41.32,11,86.0
10253.390073776245,224,222,41.37,8,86.0
10286.537170410156,227,221,41.31,12,86.0
10320.33634185791,228,219,41.33,13,86.0
10352.494239807129,229,218,41.39,10,86.0
10385.76626777649,230,218,41.42,11,86.0
10418.771028518677,230,217,41.34,8,86.0
10452.018976211548,229,216,41.48,7,86.0
10485.175132751465,229,215,41.61,9,86.0
10519.082069396973,230,216,41.62,7,86.0
10551.066160202026,229,214,41.65,11,86.0
10616.873979568481,228,213,41.73,11,86.0
10650.256156921387,228,212,41.73,13,86.0
10683.759212493896,228,211,41.75,12,86.0
10716.342210769653,228,209,41.8,17,86.0
10750.514268875122,228,207,41.95,11,86.0
10781.91328048706,229,206,41.92,12,86.0
10815.45615196228,229,205,41.96,12,86.0
10846.734285354614,229,203,42.03,14,86.0
10880.844116210938,230,203,42.07,12,86.0
10914.551258087158,230,202,42.02,14,86.0
